Matrix Size,Tile Size,Matrix Multiplication Compute Time,Test Result
100 x 100,2,3.436256,TEST PASSED
250 x 250,2,43.424065,TEST PASSED
500 x 500,2,290.364258,TEST PASSED
1000 x 1000,2,2143.262207,TEST PASSED
1500 x 1500,2,7300.650879,TEST PASSED
100 x 100,2,26.287840,TEST PASSED
250 x 250,2,160.913528,TEST PASSED
500 x 500,2,301.430878,TEST PASSED
1000 x 1000,2,2153.438232,TEST PASSED
1500 x 1500,2,7427.802734,TEST PASSED
100 x 100,2,26.176607,TEST PASSED
250 x 250,2,263.918060,TEST PASSED
500 x 500,2,305.505768,TEST PASSED
1000 x 1000,2,2153.463379,TEST PASSED
1500 x 1500,2,7564.545898,TEST PASSED
100 x 100,2,26.174433,TEST PASSED
250 x 250,2,224.417053,TEST PASSED
500 x 500,2,334.898254,TEST PASSED
1000 x 1000,2,2153.533447,TEST PASSED
1500 x 1500,2,7446.327148,TEST PASSED
100 x 100,2,26.176737,TEST PASSED
250 x 250,2,148.795197,TEST PASSED
500 x 500,2,301.965698,TEST PASSED
1000 x 1000,2,2153.468018,TEST PASSED
1500 x 1500,2,7505.105469,TEST PASSED
100 x 100,5,1.026464,TEST PASSED
250 x 250,5,6.370624,TEST PASSED
500 x 500,5,48.980831,TEST PASSED
1000 x 1000,5,337.552917,TEST PASSED
1500 x 1500,5,1081.502930,TEST PASSED
100 x 100,5,3.837152,TEST PASSED
250 x 250,5,57.747070,TEST PASSED
500 x 500,5,187.616409,TEST PASSED
1000 x 1000,5,350.864594,TEST PASSED
1500 x 1500,5,1179.015503,TEST PASSED
100 x 100,5,3.838880,TEST PASSED
250 x 250,5,57.747646,TEST PASSED
500 x 500,5,156.956314,TEST PASSED
1000 x 1000,5,359.797180,TEST PASSED
1500 x 1500,5,1270.714600,TEST PASSED
100 x 100,5,3.838272,TEST PASSED
250 x 250,5,57.740162,TEST PASSED
500 x 500,5,223.978180,TEST PASSED
1000 x 1000,5,331.979340,TEST PASSED
1500 x 1500,5,1297.819092,TEST PASSED
100 x 100,5,3.840448,TEST PASSED
250 x 250,5,57.726368,TEST PASSED
500 x 500,5,175.239075,TEST PASSED
1000 x 1000,5,353.397614,TEST PASSED
1500 x 1500,5,1195.641235,TEST PASSED
100 x 100,10,20.317984,TEST PASSED
250 x 250,10,2.884032,TEST PASSED
500 x 500,10,21.807167,TEST PASSED
1000 x 1000,10,168.025665,TEST PASSED
1500 x 1500,10,522.782104,TEST PASSED
100 x 100,10,1.734816,TEST PASSED
250 x 250,10,25.947712,TEST PASSED
500 x 500,10,191.004990,TEST PASSED
1000 x 1000,10,163.028992,TEST PASSED
1500 x 1500,10,679.929749,TEST PASSED
100 x 100,10,1.733856,TEST PASSED
250 x 250,10,25.988672,TEST PASSED
500 x 500,10,125.782463,TEST PASSED
1000 x 1000,10,160.768570,TEST PASSED
1500 x 1500,10,669.507935,TEST PASSED
100 x 100,10,1.733952,TEST PASSED
250 x 250,10,26.094879,TEST PASSED
500 x 500,10,187.310425,TEST PASSED
1000 x 1000,10,162.200897,TEST PASSED
1500 x 1500,10,616.330322,TEST PASSED
100 x 100,10,1.734752,TEST PASSED
250 x 250,10,26.020672,TEST PASSED
500 x 500,10,195.478119,TEST PASSED
1000 x 1000,10,167.318115,TEST PASSED
1500 x 1500,10,691.488464,TEST PASSED
100 x 100,25,0.923648,TEST PASSED
250 x 250,25,3.191424,TEST PASSED
500 x 500,25,23.031744,TEST PASSED
1000 x 1000,25,180.364807,TEST PASSED
1500 x 1500,25,532.229675,TEST PASSED
100 x 100,25,2.883584,TEST PASSED
250 x 250,25,29.204063,TEST PASSED
500 x 500,25,159.746338,TEST PASSED
1000 x 1000,25,167.326279,TEST PASSED
1500 x 1500,25,655.943604,TEST PASSED
100 x 100,25,2.885152,TEST PASSED
250 x 250,25,29.162304,TEST PASSED
500 x 500,25,118.940094,TEST PASSED
1000 x 1000,25,165.410370,TEST PASSED
1500 x 1500,25,638.484497,TEST PASSED
100 x 100,25,2.883104,TEST PASSED
250 x 250,25,29.258848,TEST PASSED
500 x 500,25,149.412735,TEST PASSED
1000 x 1000,25,167.817764,TEST PASSED
1500 x 1500,25,721.841492,TEST PASSED
100 x 100,25,2.882304,TEST PASSED
250 x 250,25,29.472351,TEST PASSED
500 x 500,25,208.309052,TEST PASSED
1000 x 1000,25,172.319458,TEST PASSED
1500 x 1500,25,669.051697,TEST PASSED